room,type,min_width,max_width,min_depth,max_depth,exists,floor,doors,window_width,window_height,objects,light_sources,activities
Living Room,common,10,20,10,20,80,1,1,4,6,"couch, coffee table, bookshelf, fireplace, rug","lamps, candles, fireplace","relaxing, entertaining guests, reading"
Dining Room,common,10,15,10,15,80,1,1,4,6,"dining table, chairs, china cabinet, rug, fireplace","lamps, candles, fireplace","eating meals, entertaining guests"
Kitchen,common,10,20,10,20,80,1,1,3,4,"stove, sink, cabinets, worktops, ice box, fireplace","lamps, candles, fireplace","preparing and cooking meals, storing food"
Bedroom,private,8,12,10,15,80,1,1,3,4,"bed, dresser, nightstand, lamp, fireplace","lamps, candles, fireplace","sleeping, dressing, relaxing, intimate activities"
Master Bedroom,private,12,20,10,15,80,1,1,4,6,"bed, dresser, nightstands, lamp, armchair, fireplace","lamps, candles, fireplace","sleeping, dressing, relaxing, intimate activities"
Children's Bedroom,private,8,10,8,10,80,1,1,3,4,"bed, dresser, nightstand, lamp, rug, toys","lamps, candles","sleeping, playing"
Bathroom,private,5,10,5,10,80,1,1,2,2,"sink, toilet, tub, rug","lamps, candles","bathing, grooming"
WC,private,3,5,3,5,80,1,1,1,1,"toilet, sink, rug","lamps, candles","using the toilet"
Guest Room,private,8,12,8,12,80,1,1,3,4,"bed, dresser, nightstand, lamp, armchair","lamps, candles","sleeping, relaxing, intimate activities"
Library,private,10,15,10,15,0,2,1,3,5,"books, desk, chair, lamp, rug","lamps, candles, fireplace","reading, studying"
Study,private,8,12,8,12,0,2,1,3,4,"desk, chair, bookshelves, lamp, rug","lamps, candles, fireplace","studying, writing"
Nursery,private,8,10,8,10,0,2,1,1,3,"crib, rocking chair, changing table, fireplace","lamps, candles, fireplace","caring for infants"
